occupation
Dáil Éireann
Assemblée nationale
Estates of Aruba
Conseiller
Savjetnik
Alcalde
Varajäsen
Ambassadeur
Board Member
Concejo Municipal
Byrådsmedlemmer
Kent Konseyi Üyeleri
Commission
Ledamot
Համայնքի ղեկավար`
Ավագանու անդամների
Council*
Kunsillier
Counsellor
Concejal
Radny
Raadsheer-plaatsvervanger
Raadsheer
Депутат
জেলা প্রশাসকবৃন্দ
জেলা প্রশাসকের কার্যালয়জেলা প্রশাসকের কার্যালয়
Director
Executive
Mayor
Gobierno
Governor
Prime Minister
Pope 
President 
Premier 
viceborgmester
Sekretär
Tajomník
Vicekonzulka
místopředsedkyně 
министра
Secretaire
mayor
State Secretary
Ex-Presidentes De Tribunais De Justiça
Judge
সরকারের সদস্য
President
Military Officer
Military Personnel
General
Representative
Consul General
Embajador
Diplomat
Consular Staff
ATTACHE
Ambassador
Consul
Secretary
Судья
Rechter
Съдия
Суддя суду
Jurist
Judical
Justice 
Corte
Mitglied des Landtags
Members of 
Diputado
Maire
Edil Departamental
Muhtarlarimiz
Intendente
Member
Jäsen
Medlemmer
Medlem
Member of
Committee and/or commission deputy
Senator
Deputy
Assembly
Senate
Chamber Of Deputies
House Of Representatives
Local
Medlem av fylkestinget
Government
Legislature
Judiciary
Regional
Minister
পৌরসভা
Politician
Parliament
Director of a State Owned Entity
Senior Member
Anc
Police
national
official
politic
politik
politique
polityk
civil servant
beaurocrat
public servant
polityc
attorney
administration
commission
department
public admin
ambassador
attach
commissioner
consul
counsellor
counselor
diplomat
affairs
nuncio
united nations
conseiller
democrat
party
secretar
sekreterare
central bank
first lady
president
state
presidency
court
judge
jurist
justice
justicia
magistrate
assembly
bundestag
deput
house
knesset
legislature
lok sabha
parlament
parliament
riksdag
legislator
wolesi jirga
legislative
board of
director general
director-general
executive director
general director
head of
leader
managing director
member of the
federal baureau
intelligence
baron
duchess
duke
earl
king
lord
marquess
prince
queen
royal
viscount
business executive
chair
board member
admiral
army
brigad
captain
chief
colonel
command
general
lieutenant
major
military
officer
marshal
cabinet
chancellor
congress
government
governor
minister
ministre
ministro
ministry
premier
representative
senat
landesrat
gobernador
landrat
maire
mayor
prefect
burgomaster
ayuntamiento
schepen
landeshauptmann
bourgmestre
bezirksvorsteher
gouvern
alcalde
gobierno
council
landtag
municipal
diputado
diputada
asamblea
polski wojskowy
польский политик
"український воєначальник, генерал армії україни, голова донецької ода (2014-2015)"
turks bureaucraat
"українська письменниця, громадсько-політична діячка"
"канадський дипломат українського походження, надзвичайний і повноважний посол канади в україні"
глава города перми и председатель пермской городской думы
генерал-майор
"wojskowy polski, prawnik"
исполнительный директор международного торгового центра
"wojskowy chiński, generał"
política portuguesa
política española
polski oficer milicji
russisch militair theoreticus (1944-2016)
polski działacz państwowy
bhikkhu
"bremer bürgerschaftsabgeordneter (spd), mdbb"
ingeniero de caminos
japanese pilitician
ehemaliger feuerwehr- und polizeipräsident von new york
"empresaria y política de corrientes, argentina."
deutsche gewerkschafterin und ehemalige inspektorin der stadt wuppertal
generaal uit peru
generał polski
"generał polski, działacz państwowy"
amerikaans ondernemer
akademiker
german landesbischof
радянський партійний і державний діяч
български офицер
omukama of toro
oba of benin
ukrainische aktivistin
"novinářka a socioložka, signatářka charty 77."
épouse d'hafez el-assad
епископ сербской православной церкви
ooni of ife
poslanka klavdija markež
"polski dziennikarz, publicysta, pisarz"
rajah muda of sarawak
"polski działacz państwowy, inżynier"
pape
sowjetischer soldat
"bosnischer geistlicher, bischof von dubrovnik, erzbischof von zadar"
auslandsbischof der evangelischen kirche in deutschland
chinees informaticus
brits vakbondsbestuurder
actrice uit israël
archéologue
amerikaans apotheker
amerikaans onderneemster
ira colunteer
"libanesischer geistlicher, bischof der eparchie nossa senhora do paraíso em são paulo"
"liechtensteinischer prinz, unternehmer und schlossherr"
maharana of mewar
knallharter akp-abgeordneter
"kenianischer geistlicher, erzbischof von mombasa"
docent
econoom uit chili
dae gwang-hyeon
filipino columnis
शिव बहादुर खड्का
commodore
polotician
gibraltar mp
reichstag
emperess
empress
emperor
hamas
maharani
heiress
malaysian raja
monarch
danish count
jihad member
maharaj
hezbollah
politcian
senior counsel
sheriff
alder
treasurer
envoy
alake of egbaland
